UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
086785153209,Fassati,Selciaia,Prugnolo Gentile/Caniaolo Nero/Mammolo/Pulcinculo,Siena,1998,,,,www.palmbayimports.com,,750ml
086785170060,Redcliffe,Redcliffe Sauvignon Blanc,Sauvignon Blanc,New Zealand,2005,,,,,,750ml
086785211190,,Cavit Chardonnay,Chardonnay,,,,,,,,
086785211213,Marwood,Brut,Sparkling Wine,Trentino,0000,,,,www.palmbayimports.com,,750ml
086785211237,Cavit,Collection,Cabernet Sauvignon,Italy,2004,,,,,Gift from John Jaworki for Christmas 2008,
086785211398,Cavit,Merlot,Merlot,Trentino,2000,,,,www.palmbayimports.com,,750ml
086785211442,Marwood,Ruby Spumante,Sparkling Wine,Trentino,0000,,,,www.palmbayimports.com,,750ml
086785211503,Cavit,,Pinot Noir,Italy,2003,,,,,,
086785214481,Cavit,Pinot Noir,Pinot Noir,Tre Venezie,2000,,,,,,750ml
086785250007,Planeta,La Segreta,White Wine,Sicily,2008,,,,,Grecanico 50%; Chardonnay 30%; Viognier 10%; Fiano 10%,
086785250014,Planeta,La Segreta Rosso di Sicilia,"Nero d'Avola, Merlot and Syrah",Sicily,2006,15,,88 WS,,"Lots of plummy, chocolaty fruit on the nose. Full-bodied, with soft tannins and a flavorful finish. Delicious already. Nero d?Avola, Merlot and Syrah. Drink now. 66,665 cases made. –JS",750ml
086785260228,Bottega,Petalo Moscato Spumante,Sparkling Wine,Italy,,15,,,,,750ml
086785350011,Jean Luc Colombo,Cotes du Rhone Les Abeilles,Syrah,Cotes-du-Rhone,2005,9.99,,88,,,750ml
086785350233,Colombo/Jean-Luc,Hermitage Le Rouet,Rhone,Hermitage,1999,20,,89 ws,"Maturing, with tobacco, dried currant, sun dried tomato, bacon fat, cedar and espresso notes working together. Still quite toasty on the full-bodied finish though, with chocolate and briar flavors lingering. Drink now through 2008. 1,500 cases made. (JM)",,
